frame,abstime,reltime,april16_microphoneBoardE_0.seq:Rectangle 1 [C]:max,april16_microphoneBoardE_0.seq:Polygon 1 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 2 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 3 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 4 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 5 [C]:mean
153,2000-02-16 05:54:33.699000,24.322000,2.625632e+01,2.713458e+01,2.742130e+01,2.696085e+01,2.578402e+01,2.499676e+01
154,2000-02-16 05:54:33.859000,24.482000,2.625632e+01,2.709451e+01,2.742796e+01,2.705443e+01,2.585838e+01,2.500096e+01
155,2000-02-16 05:54:34.019000,24.642000,2.632362e+01,2.710787e+01,2.746125e+01,2.698091e+01,2.583135e+01,2.499834e+01
156,2000-02-16 05:54:34.179000,24.802000,2.629670e+01,2.711455e+01,2.740132e+01,2.697422e+01,2.582459e+01,2.500353e+01
157,2000-02-16 05:54:34.339000,24.962000,2.634380e+01,2.722135e+01,2.738134e+01,2.697422e+01,2.591243e+01,2.502595e+01
158,2000-02-16 05:54:34.499000,25.122000,2.629670e+01,2.726137e+01,2.746125e+01,2.697422e+01,2.587189e+01,2.504846e+01
159,2000-02-16 05:54:34.659000,25.282000,2.628997e+01,2.728137e+01,2.741464e+01,2.700097e+01,2.593269e+01,2.504336e+01
160,2000-02-16 05:54:34.819000,25.442000,2.628324e+01,2.718131e+01,2.746125e+01,2.712123e+01,2.592593e+01,2.504746e+01
161,2000-02-16 05:54:34.979000,25.602000,2.634380e+01,2.716796e+01,2.744793e+01,2.708784e+01,2.589216e+01,2.505310e+01
162,2000-02-16 05:54:35.139000,25.762000,2.635052e+01,2.722802e+01,2.750118e+01,2.699428e+01,2.595294e+01,2.505846e+01
163,2000-02-16 05:54:35.299000,25.922000,2.633707e+01,2.726804e+01,2.754110e+01,2.711455e+01,2.589892e+01,2.506470e+01
164,2000-02-16 05:54:35.459000,26.082000,2.626305e+01,2.720133e+01,2.746125e+01,2.707448e+01,2.586514e+01,2.506536e+01
165,2000-02-16 05:54:35.619000,26.242000,2.634380e+01,2.728137e+01,2.752114e+01,2.712123e+01,2.593944e+01,2.507353e+01
166,2000-02-16 05:54:35.779000,26.402000,2.639087e+01,2.720800e+01,2.746790e+01,2.702102e+01,2.605416e+01,2.507070e+01
167,2000-02-16 05:54:35.939000,26.562000,2.628324e+01,2.728137e+01,2.749452e+01,2.704775e+01,2.600019e+01,2.507948e+01
168,2000-02-16 05:54:36.099000,26.722000,2.643121e+01,2.725470e+01,2.742796e+01,2.704107e+01,2.595294e+01,2.508564e+01
169,2000-02-16 05:54:36.259000,26.882000,2.639760e+01,2.728804e+01,2.747456e+01,2.717464e+01,2.591918e+01,2.509268e+01
170,2000-02-16 05:54:36.419000,27.042000,2.639087e+01,2.720133e+01,2.756770e+01,2.714126e+01,2.592593e+01,2.511156e+01
171,2000-02-16 05:54:36.579000,27.202000,2.641776e+01,2.732804e+01,2.755440e+01,2.708784e+01,2.597994e+01,2.514338e+01
172,2000-02-16 05:54:36.739000,27.362000,2.641104e+01,2.729471e+01,2.754110e+01,2.713458e+01,2.593944e+01,2.514943e+01
173,2000-02-16 05:54:36.899000,27.522000,2.649840e+01,2.733470e+01,2.761424e+01,2.710119e+01,2.595969e+01,2.515467e+01
174,2000-02-16 05:54:37.059000,27.682000,2.647824e+01,2.730137e+01,2.756105e+01,2.720133e+01,2.597994e+01,2.516066e+01
175,2000-02-16 05:54:37.219000,27.842000,2.645137e+01,2.726804e+01,2.761424e+01,2.714126e+01,2.602718e+01,2.516308e+01
176,2000-02-16 05:54:37.379000,28.002000,2.647824e+01,2.740132e+01,2.752114e+01,2.716796e+01,2.600019e+01,2.517061e+01
177,2000-02-16 05:54:37.539000,28.162000,2.643793e+01,2.736802e+01,2.750783e+01,2.716129e+01,2.608114e+01,2.517991e+01
178,2000-02-16 05:54:37.699000,28.322000,2.646481e+01,2.732137e+01,2.760759e+01,2.716796e+01,2.594619e+01,2.517992e+01
179,2000-02-16 05:54:37.859000,28.482000,2.654540e+01,2.735469e+01,2.761424e+01,2.723469e+01,2.602718e+01,2.518671e+01
180,2000-02-16 05:54:38.019000,28.642000,2.644465e+01,2.734136e+01,2.760759e+01,2.725470e+01,2.602044e+01,2.518880e+01
