frame,abstime,reltime,april10_baselineBoardC_3.seq:Rectangle 1 [C]:max,april10_baselineBoardC_3.seq:Polygon 1 [C]:max,april10_baselineBoardC_3.seq:Rectangle 2 [C]:max,april10_baselineBoardC_3.seq:Rectangle 3 [C]:max,april10_baselineBoardC_3.seq:Rectangle 4 [C]:max,april10_baselineBoardC_3.seq:Rectangle 5 [C]:mean
99,2000-02-10 06:31:57.999000,15.682000,2.572315e+01,2.710787e+01,2.678013e+01,2.621592e+01,2.472381e+01,2.447921e+01
100,2000-02-10 06:31:58.159000,15.842000,2.575021e+01,2.715461e+01,2.677343e+01,2.624285e+01,2.473064e+01,2.448882e+01
101,2000-02-10 06:31:58.319000,16.002000,2.573668e+01,2.714794e+01,2.678013e+01,2.626978e+01,2.473747e+01,2.449885e+01
102,2000-02-10 06:31:58.479000,16.162000,2.576373e+01,2.723469e+01,2.683371e+01,2.631689e+01,2.477162e+01,2.450780e+01
103,2000-02-10 06:31:58.639000,16.322000,2.574344e+01,2.722135e+01,2.676003e+01,2.624285e+01,2.477162e+01,2.449846e+01
104,2000-02-10 06:31:58.799000,16.482000,2.577726e+01,2.719466e+01,2.676003e+01,2.626305e+01,2.473064e+01,2.449329e+01
105,2000-02-10 06:31:58.959000,16.642000,2.570285e+01,2.717464e+01,2.678013e+01,2.632362e+01,2.470332e+01,2.449219e+01
106,2000-02-10 06:31:59.119000,16.802000,2.574344e+01,2.717464e+01,2.676003e+01,2.633707e+01,2.471015e+01,2.450264e+01
107,2000-02-10 06:31:59.279000,16.962000,2.575021e+01,2.718798e+01,2.680692e+01,2.629670e+01,2.475113e+01,2.451444e+01
108,2000-02-10 06:31:59.439000,17.122000,2.579078e+01,2.720800e+01,2.689395e+01,2.637070e+01,2.466232e+01,2.451666e+01
109,2000-02-10 06:31:59.599000,17.282000,2.581107e+01,2.726804e+01,2.679352e+01,2.633035e+01,2.477162e+01,2.452530e+01
110,2000-02-10 06:31:59.759000,17.442000,2.582459e+01,2.726137e+01,2.682031e+01,2.636398e+01,2.476479e+01,2.453503e+01
111,2000-02-10 06:31:59.919000,17.602000,2.585162e+01,2.724803e+01,2.684710e+01,2.636398e+01,2.471698e+01,2.453673e+01
112,2000-02-10 06:32:00.079000,17.762000,2.587865e+01,2.728137e+01,2.681362e+01,2.639087e+01,2.472381e+01,2.453510e+01
113,2000-02-10 06:32:00.239000,17.922000,2.583135e+01,2.725470e+01,2.686718e+01,2.635052e+01,2.477162e+01,2.454798e+01
114,2000-02-10 06:32:00.399000,18.082000,2.583811e+01,2.727470e+01,2.688056e+01,2.637743e+01,2.474430e+01,2.454797e+01
115,2000-02-10 06:32:00.559000,18.242000,2.587865e+01,2.732137e+01,2.701433e+01,2.637743e+01,2.492853e+01,2.456235e+01
116,2000-02-10 06:32:00.719000,18.402000,2.595294e+01,2.730137e+01,2.695416e+01,2.653869e+01,2.487398e+01,2.457406e+01
117,2000-02-10 06:32:00.879000,18.562000,2.593269e+01,2.722802e+01,2.692740e+01,2.638415e+01,2.479892e+01,2.457602e+01
118,2000-02-10 06:32:01.039000,18.722000,2.585162e+01,2.723469e+01,2.691402e+01,2.643121e+01,2.483305e+01,2.458248e+01
119,2000-02-10 06:32:01.199000,18.882000,2.587865e+01,2.739466e+01,2.696753e+01,2.646481e+01,2.476479e+01,2.458848e+01
120,2000-02-10 06:32:01.359000,19.042000,2.584487e+01,2.739466e+01,2.710119e+01,2.637743e+01,2.477844e+01,2.459498e+01
121,2000-02-10 06:32:01.519000,19.202000,2.593944e+01,2.740132e+01,2.690733e+01,2.639087e+01,2.480575e+01,2.460523e+01
