frame,abstime,reltime,april10_baselineBoardB_3.seq:Rectangle 1 [C]:max,april10_baselineBoardB_3.seq:Polygon 1 [C]:max,april10_baselineBoardB_3.seq:Rectangle 2 [C]:max,april10_baselineBoardB_3.seq:Rectangle 3 [C]:max,april10_baselineBoardB_3.seq:Rectangle 4 [C]:max,april10_baselineBoardB_3.seq:Rectangle 5 [C]:mean
170,2000-02-10 05:51:41.615000,27.042000,2.633707e+01,2.766076e+01,2.736135e+01,2.673993e+01,2.528923e+01,2.502799e+01
171,2000-02-10 05:51:41.776000,27.203000,2.633035e+01,2.774046e+01,2.748121e+01,2.680022e+01,2.532998e+01,2.504304e+01
172,2000-02-10 05:51:41.935000,27.362000,2.631689e+01,2.774709e+01,2.734803e+01,2.673993e+01,2.535715e+01,2.505148e+01
173,2000-02-10 05:51:42.096000,27.523000,2.633035e+01,2.771390e+01,2.738134e+01,2.683371e+01,2.545894e+01,2.505107e+01
174,2000-02-10 05:51:42.256000,27.683000,2.638415e+01,2.772054e+01,2.738800e+01,2.678013e+01,2.544537e+01,2.505676e+01
175,2000-02-10 05:51:42.416000,27.843000,2.638415e+01,2.769397e+01,2.748121e+01,2.691402e+01,2.545894e+01,2.506727e+01
176,2000-02-10 05:51:42.576000,28.003000,2.647153e+01,2.782673e+01,2.751449e+01,2.684710e+01,2.544537e+01,2.509140e+01
177,2000-02-10 05:51:42.736000,28.163000,2.643793e+01,2.776701e+01,2.746790e+01,2.696085e+01,2.543180e+01,2.509800e+01
178,2000-02-10 05:51:42.896000,28.323000,2.643121e+01,2.788642e+01,2.756105e+01,2.694078e+01,2.541823e+01,2.510393e+01
179,2000-02-10 05:51:43.056000,28.483000,2.642449e+01,2.776701e+01,2.750783e+01,2.684040e+01,2.542502e+01,2.511287e+01
180,2000-02-10 05:51:43.216000,28.643000,2.642449e+01,2.779355e+01,2.754775e+01,2.684710e+01,2.553353e+01,2.511875e+01
181,2000-02-10 05:51:43.376000,28.803000,2.643793e+01,2.784000e+01,2.754110e+01,2.687387e+01,2.558774e+01,2.512798e+01
