frame,abstime,reltime,april10_baselineBoardA_3.seq:Rectangle 1 [C]:max,april10_baselineBoardA_3.seq:Polygon 1 [C]:max,april10_baselineBoardA_3.seq:Rectangle 2 [C]:max,april10_baselineBoardA_3.seq:Rectangle 3 [C]:max,april10_baselineBoardA_3.seq:Rectangle 4 [C]:max,april10_baselineBoardA_3.seq:Rectangle 5 [C]:mean
131,2000-02-10 05:14:48.851000,20.800000,2.578402e+01,2.710787e+01,2.659910e+01,2.612159e+01,2.463498e+01,2.434617e+01
132,2000-02-10 05:14:49.012000,20.961000,2.568254e+01,2.722802e+01,2.657897e+01,2.617550e+01,2.464181e+01,2.435078e+01
133,2000-02-10 05:14:49.172000,21.121000,2.568254e+01,2.714126e+01,2.662594e+01,2.616203e+01,2.464865e+01,2.435196e+01
134,2000-02-10 05:14:49.332000,21.281000,2.570285e+01,2.714794e+01,2.667289e+01,2.624285e+01,2.464865e+01,2.437738e+01
135,2000-02-10 05:14:49.492000,21.441000,2.584487e+01,2.714126e+01,2.668630e+01,2.626305e+01,2.464181e+01,2.438498e+01
136,2000-02-10 05:14:49.652000,21.601000,2.579078e+01,2.711455e+01,2.665277e+01,2.628997e+01,2.466232e+01,2.439184e+01
137,2000-02-10 05:14:49.812000,21.761000,2.578402e+01,2.714794e+01,2.668630e+01,2.620245e+01,2.468282e+01,2.440301e+01
138,2000-02-10 05:14:49.972000,21.921000,2.579755e+01,2.718798e+01,2.668630e+01,2.620245e+01,2.466232e+01,2.441510e+01
139,2000-02-10 05:14:50.133000,22.082000,2.579755e+01,2.728137e+01,2.665948e+01,2.617550e+01,2.473064e+01,2.442152e+01
140,2000-02-10 05:14:50.292000,22.241000,2.580431e+01,2.716796e+01,2.667289e+01,2.619571e+01,2.471698e+01,2.442212e+01
141,2000-02-10 05:14:50.452000,22.401000,2.575021e+01,2.725470e+01,2.677343e+01,2.621592e+01,2.468965e+01,2.443457e+01
142,2000-02-10 05:14:50.612000,22.561000,2.583811e+01,2.718131e+01,2.669971e+01,2.624959e+01,2.468965e+01,2.443407e+01
143,2000-02-10 05:14:50.772000,22.721000,2.579755e+01,2.718798e+01,2.670641e+01,2.628324e+01,2.473064e+01,2.443583e+01
144,2000-02-10 05:14:50.932000,22.881000,2.583811e+01,2.718131e+01,2.670641e+01,2.627651e+01,2.468282e+01,2.444070e+01
