frame,abstime,reltime,april3_microphoneBoardA_4.seq:Rectangle 1 [C]:max,april3_microphoneBoardA_4.seq:Polygon 1 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 2 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 3 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 4 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 5 [C]:mean
166,2000-02-03 07:31:33.211000,26.403000,2.653869e+01,2.693409e+01,2.730804e+01,2.684710e+01,2.562838e+01,2.507755e+01
167,2000-02-03 07:31:33.371000,26.563000,2.653869e+01,2.694078e+01,2.728804e+01,2.686049e+01,2.565546e+01,2.508057e+01
168,2000-02-03 07:31:33.531000,26.723000,2.653869e+01,2.704775e+01,2.724136e+01,2.681362e+01,2.571638e+01,2.508776e+01
169,2000-02-03 07:31:33.691000,26.883000,2.651855e+01,2.697422e+01,2.724803e+01,2.694078e+01,2.576373e+01,2.509339e+01
170,2000-02-03 07:31:33.851000,27.043000,2.667289e+01,2.696753e+01,2.726137e+01,2.683371e+01,2.564869e+01,2.509502e+01
171,2000-02-03 07:31:34.011000,27.203000,2.660581e+01,2.697422e+01,2.724136e+01,2.690733e+01,2.570961e+01,2.509383e+01
172,2000-02-03 07:31:34.171000,27.363000,2.660581e+01,2.696753e+01,2.730137e+01,2.682701e+01,2.577726e+01,2.511000e+01
173,2000-02-03 07:31:34.331000,27.523000,2.659910e+01,2.698091e+01,2.726137e+01,2.688726e+01,2.570285e+01,2.511564e+01
174,2000-02-03 07:31:34.491000,27.683000,2.656554e+01,2.705443e+01,2.727470e+01,2.691402e+01,2.585162e+01,2.511955e+01
175,2000-02-03 07:31:34.651000,27.843000,2.666618e+01,2.704107e+01,2.730137e+01,2.689395e+01,2.574344e+01,2.512559e+01
176,2000-02-03 07:31:34.811000,28.003000,2.671982e+01,2.703439e+01,2.732137e+01,2.691402e+01,2.570961e+01,2.513679e+01
177,2000-02-03 07:31:34.971000,28.163000,2.665948e+01,2.711455e+01,2.739466e+01,2.690064e+01,2.576373e+01,2.513898e+01
178,2000-02-03 07:31:35.131000,28.323000,2.668630e+01,2.710787e+01,2.736135e+01,2.692740e+01,2.564192e+01,2.514616e+01
179,2000-02-03 07:31:35.291000,28.483000,2.661923e+01,2.706779e+01,2.738800e+01,2.690733e+01,2.567577e+01,2.515155e+01
180,2000-02-03 07:31:35.451000,28.643000,2.664606e+01,2.710119e+01,2.730804e+01,2.695416e+01,2.570961e+01,2.515736e+01
