frame,abstime,reltime,april15_microphoneBoardB_0.seq:Rectangle 1 [C]:max,april15_microphoneBoardB_0.seq:Polygon 1 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 2 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 3 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 4 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 5 [C]:mean
139,2000-02-14 20:47:32.088000,22.083000,2.551319e+01,2.657897e+01,2.660581e+01,2.602044e+01,2.434060e+01,2.412874e+01
140,2000-02-14 20:47:32.248000,22.243000,2.554031e+01,2.660581e+01,2.655883e+01,2.606765e+01,2.440913e+01,2.416325e+01
141,2000-02-14 20:47:32.408000,22.403000,2.555386e+01,2.658568e+01,2.661252e+01,2.603393e+01,2.439543e+01,2.416850e+01
142,2000-02-14 20:47:32.568000,22.563000,2.556741e+01,2.665948e+01,2.658568e+01,2.607440e+01,2.447077e+01,2.417622e+01
143,2000-02-14 20:47:32.728000,22.723000,2.557419e+01,2.665948e+01,2.664606e+01,2.618898e+01,2.449816e+01,2.417678e+01
144,2000-02-14 20:47:32.888000,22.883000,2.562161e+01,2.670641e+01,2.661923e+01,2.606091e+01,2.440228e+01,2.417870e+01
145,2000-02-14 20:47:33.048000,23.043000,2.563515e+01,2.661923e+01,2.664606e+01,2.604067e+01,2.439543e+01,2.417712e+01
146,2000-02-14 20:47:33.208000,23.203000,2.564869e+01,2.666618e+01,2.669300e+01,2.604067e+01,2.442283e+01,2.418154e+01
147,2000-02-14 20:47:33.368000,23.363000,2.564869e+01,2.661252e+01,2.668630e+01,2.614181e+01,2.445023e+01,2.418970e+01
148,2000-02-14 20:47:33.528000,23.523000,2.565546e+01,2.663935e+01,2.676003e+01,2.614855e+01,2.442968e+01,2.419199e+01
149,2000-02-14 20:47:33.689000,23.684000,2.566224e+01,2.665948e+01,2.668630e+01,2.617550e+01,2.449131e+01,2.420620e+01
150,2000-02-14 20:47:33.848000,23.843000,2.564869e+01,2.661252e+01,2.673322e+01,2.609463e+01,2.457343e+01,2.420498e+01
151,2000-02-14 20:47:34.009000,24.004000,2.564192e+01,2.664606e+01,2.663935e+01,2.610137e+01,2.453238e+01,2.420504e+01
152,2000-02-14 20:47:34.169000,24.164000,2.569608e+01,2.673322e+01,2.665277e+01,2.612833e+01,2.460079e+01,2.420643e+01
153,2000-02-14 20:47:34.329000,24.324000,2.572315e+01,2.678683e+01,2.674663e+01,2.620918e+01,2.454607e+01,2.426517e+01
154,2000-02-14 20:47:34.490000,24.485000,2.572991e+01,2.675333e+01,2.684040e+01,2.633035e+01,2.460079e+01,2.433944e+01
155,2000-02-14 20:47:34.650000,24.645000,2.583811e+01,2.681362e+01,2.684710e+01,2.621592e+01,2.456659e+01,2.433988e+01
156,2000-02-14 20:47:34.810000,24.805000,2.576373e+01,2.680022e+01,2.684040e+01,2.627651e+01,2.473064e+01,2.434519e+01
157,2000-02-14 20:47:34.970000,24.965000,2.577050e+01,2.686718e+01,2.683371e+01,2.631689e+01,2.463498e+01,2.434925e+01
158,2000-02-14 20:47:35.130000,25.125000,2.589892e+01,2.684710e+01,2.680022e+01,2.647153e+01,2.458027e+01,2.435451e+01
159,2000-02-14 20:47:35.290000,25.285000,2.589216e+01,2.681362e+01,2.687387e+01,2.640432e+01,2.465549e+01,2.436302e+01
160,2000-02-14 20:47:35.450000,25.445000,2.585838e+01,2.688056e+01,2.695416e+01,2.628997e+01,2.464865e+01,2.437273e+01
161,2000-02-14 20:47:35.610000,25.605000,2.587189e+01,2.686718e+01,2.686049e+01,2.653869e+01,2.460763e+01,2.438331e+01
162,2000-02-14 20:47:35.770000,25.765000,2.584487e+01,2.684040e+01,2.689395e+01,2.637743e+01,2.463498e+01,2.438638e+01
163,2000-02-14 20:47:35.930000,25.925000,2.579755e+01,2.680692e+01,2.690733e+01,2.642449e+01,2.475113e+01,2.438676e+01
164,2000-02-14 20:47:36.090000,26.085000,2.582459e+01,2.682031e+01,2.686718e+01,2.633035e+01,2.471015e+01,2.439057e+01
165,2000-02-14 20:47:36.250000,26.245000,2.588541e+01,2.684710e+01,2.697422e+01,2.635052e+01,2.464865e+01,2.439082e+01
166,2000-02-14 20:47:36.410000,26.405000,2.585838e+01,2.683371e+01,2.694747e+01,2.638415e+01,2.471698e+01,2.439153e+01
167,2000-02-14 20:47:36.570000,26.565000,2.588541e+01,2.683371e+01,2.687387e+01,2.637070e+01,2.468965e+01,2.439192e+01
168,2000-02-14 20:47:36.730000,26.725000,2.590567e+01,2.684040e+01,2.688726e+01,2.641776e+01,2.468282e+01,2.439880e+01
169,2000-02-14 20:47:36.890000,26.885000,2.585838e+01,2.685379e+01,2.688726e+01,2.637070e+01,2.468282e+01,2.440368e+01
170,2000-02-14 20:47:37.051000,27.046000,2.581783e+01,2.692071e+01,2.690064e+01,2.634380e+01,2.468965e+01,2.440291e+01
171,2000-02-14 20:47:37.210000,27.205000,2.583811e+01,2.683371e+01,2.687387e+01,2.637743e+01,2.467599e+01,2.440530e+01
172,2000-02-14 20:47:37.370000,27.365000,2.586514e+01,2.682031e+01,2.694078e+01,2.635052e+01,2.467599e+01,2.441230e+01
173,2000-02-14 20:47:37.530000,27.525000,2.592593e+01,2.683371e+01,2.705443e+01,2.636398e+01,2.462814e+01,2.440175e+01
174,2000-02-14 20:47:37.690000,27.685000,2.588541e+01,2.682701e+01,2.703439e+01,2.637743e+01,2.471015e+01,2.440429e+01
175,2000-02-14 20:47:37.850000,27.845000,2.585838e+01,2.681362e+01,2.700765e+01,2.633035e+01,2.471698e+01,2.440694e+01
176,2000-02-14 20:47:38.010000,28.005000,2.593944e+01,2.685379e+01,2.692740e+01,2.635725e+01,2.475796e+01,2.440767e+01
177,2000-02-14 20:47:38.170000,28.165000,2.589892e+01,2.683371e+01,2.708784e+01,2.637743e+01,2.466232e+01,2.440483e+01
178,2000-02-14 20:47:38.330000,28.325000,2.591918e+01,2.683371e+01,2.702102e+01,2.646481e+01,2.468965e+01,2.440842e+01
179,2000-02-14 20:47:38.490000,28.485000,2.592593e+01,2.688056e+01,2.696085e+01,2.647824e+01,2.468282e+01,2.441506e+01
180,2000-02-14 20:47:38.650000,28.645000,2.587865e+01,2.690064e+01,2.700097e+01,2.635725e+01,2.466232e+01,2.443751e+01
