frame,abstime,reltime,april10_baselineBoardE_1.seq:Rectangle 1 [C]:max,april10_baselineBoardE_1.seq:Polygon 1 [C]:max,april10_baselineBoardE_1.seq:Rectangle 2 [C]:max,april10_baselineBoardE_1.seq:Rectangle 3 [C]:max,april10_baselineBoardE_1.seq:Rectangle 4 [C]:max,april10_baselineBoardE_1.seq:Rectangle 5 [C]:mean
168,2000-02-10 08:07:52.065000,26.721000,2.669300e+01,2.785989e+01,2.758100e+01,2.722802e+01,2.565546e+01,2.533249e+01
169,2000-02-10 08:07:52.225000,26.881000,2.673993e+01,2.789305e+01,2.772054e+01,2.722802e+01,2.568254e+01,2.533637e+01
170,2000-02-10 08:07:52.385000,27.041000,2.667959e+01,2.789968e+01,2.762088e+01,2.718798e+01,2.566224e+01,2.533525e+01
171,2000-02-10 08:07:52.545000,27.201000,2.667289e+01,2.789305e+01,2.760094e+01,2.728804e+01,2.565546e+01,2.534732e+01
172,2000-02-10 08:07:52.705000,27.361000,2.676003e+01,2.796595e+01,2.762753e+01,2.726804e+01,2.572315e+01,2.535524e+01
173,2000-02-10 08:07:52.865000,27.521000,2.671982e+01,2.795270e+01,2.773382e+01,2.723469e+01,2.571638e+01,2.536065e+01
174,2000-02-10 08:07:53.025000,27.681000,2.672652e+01,2.792619e+01,2.774709e+01,2.724803e+01,2.582459e+01,2.536844e+01
175,2000-02-10 08:07:53.185000,27.841000,2.678013e+01,2.793945e+01,2.767404e+01,2.735469e+01,2.571638e+01,2.536534e+01
176,2000-02-10 08:07:53.345000,28.001000,2.678683e+01,2.801894e+01,2.776701e+01,2.735469e+01,2.567577e+01,2.537311e+01
177,2000-02-10 08:07:53.505000,28.161000,2.679352e+01,2.792619e+01,2.782010e+01,2.720800e+01,2.577726e+01,2.537547e+01
178,2000-02-10 08:07:53.665000,28.321000,2.676003e+01,2.800569e+01,2.774709e+01,2.724803e+01,2.572315e+01,2.538617e+01
179,2000-02-10 08:07:53.825000,28.481000,2.673993e+01,2.797257e+01,2.768069e+01,2.722135e+01,2.576373e+01,2.538379e+01
180,2000-02-10 08:07:53.985000,28.641000,2.682031e+01,2.795932e+01,2.770725e+01,2.728804e+01,2.575021e+01,2.539757e+01
181,2000-02-10 08:07:54.145000,28.801000,2.679352e+01,2.794607e+01,2.772054e+01,2.726804e+01,2.577050e+01,2.539933e+01
