Board Type,Board Instance,Component,Trial,a_rise,b_rise,c_rise,a_fall,b_fall,c_fall
baseline,E,3v3reg,0,4.690008891892336,0.02068275657635113,6.215302108036688,-4.4967960286579105,0.020402594502891874,0.10894824829120281
baseline,E,buck,0,4.534310504959535,0.0207541307429362,5.639865902867252,-4.460427886626501,0.020194047711216852,0.06368271378616812
baseline,E,usbesd,0,3.648776762049023,0.014757651941111827,3.8783319087242196,-3.518447905495847,0.01531468365340147,-0.17514749382930045
baseline,E,fullboard,0,3.541470726421502,0.01701264784698555,3.743100837546597,-3.4961981148080614,0.016733424074299442,-0.03817901068863031
baseline,E,samd,1,4.45363343862672,0.017823154256205894,4.78871243432226,-3.9893268935906203,0.02117574869909605,-0.18343360081661778
baseline,E,atmega,1,4.605371911004416,0.021508979426044284,6.302688431449816,-4.448946590947738,0.021047761722944897,0.05009522644511849
baseline,E,3v3reg,1,4.7003124456294065,0.021221491258887396,6.119889037625815,-4.489402167071514,0.020175552915329808,0.035253790319254005
baseline,E,buck,1,4.548974883748131,0.020586736187323554,5.587265800012066,-4.421496864362317,0.019973039631516604,0.04601784914044918
baseline,E,usbesd,1,3.7608690247789545,0.014862950119820877,3.9201363331228594,-3.246330577655382,0.016069777282131617,0.10910119630992678
baseline,E,fullboard,1,3.608619147578256,0.016755340570003455,3.768820170441854,-3.4977112936155597,0.016644898253244653,-0.02998709419109119
baseline,E,samd,2,4.547603313291218,0.023168803382766237,4.959208452029837,N/A,N/A,N/A
baseline,E,atmega,2,4.622768812126329,0.029825683334643378,6.052150651369477,N/A,N/A,N/A
baseline,E,3v3reg,2,4.747898192392456,0.028155373280413967,5.938047934952612,N/A,N/A,N/A
baseline,E,buck,2,4.597899550643801,0.0271888528018961,5.487028400810914,-14374.688422683601,9.58215552315036e-07,-14368.44098426131
baseline,E,usbesd,2,3.670653172943388,0.015087131190566481,3.9431198936490093,0.1072457337608186,0.21727377664767977,3.5392187629021543
baseline,E,fullboard,2,3.5890869836783534,0.020673937140041055,3.7356029155327612,0.045954648065319216,0.18197612933233953,3.6000770064819783
baseline,E,samd,3,4.649352970411671,0.01805110400070528,5.293231235826036,-4.187412673206142,0.02067130053558794,0.2279186159604
baseline,E,atmega,3,4.644673651671682,0.02002900301888785,6.456659497504519,-4.467774098763176,0.020097438995282678,0.19410793647027563
baseline,E,3v3reg,3,4.763396278678405,0.019688057843510756,6.3310648983815305,-4.491794768443521,0.019447603071722143,0.23947013967453457
baseline,E,buck,3,4.655834439925196,0.0199011243199408,5.781438457234523,-4.447581728345302,0.019543377954777584,0.23365015908778386
baseline,E,usbesd,3,3.8627991031138627,0.013973707737005497,4.277078674215644,-3.6483030063285757,0.014152907693713244,0.06235838971252426
baseline,E,fullboard,3,3.653928865935819,0.016043428339031007,3.8817405521177797,-3.5484863950315555,0.01571931171976147,0.054805354662069955
baseline,E,samd,4,4.286165232151379,0.02003168228970765,4.913130312853381,-3.9227346104757728,0.021642207607267313,0.11503335925103843
baseline,E,atmega,4,4.4628610829990505,0.021642628242804197,6.164679833418637,-4.331302413738814,0.02307283452340647,0.1834887294772101
baseline,E,3v3reg,4,4.5315322795179345,0.020433760460608456,6.0413892511624185,-4.226402021935528,0.020459328776484147,0.1864842111927493
baseline,E,buck,4,4.386379553462465,0.021365418119197403,5.548322845310747,-4.12966059658901,0.02055405875573408,0.1714508375787938
baseline,E,usbesd,4,3.421359686087782,0.0158036376539643,3.737027216943585,-3.309473864046931,0.014899409454929617,-0.11187142565723147
baseline,E,fullboard,4,3.3837585214010653,0.016689817787554143,3.620386509783116,-3.3151259481546758,0.016561653077136362,0.03614066096766386
microphone,A,samd,0,3.6170358455844323,0.037171955807104605,3.8784573508821643,-3.2197083527191888,0.03667814514736646,0.08150040797615161
microphone,A,atmega,0,3.495302617295635,0.03891418168358213,4.5938638471247915,-3.279883557341315,0.03680809753166346,0.1445633406351805
microphone,A,3v3reg,0,3.5223345812757487,0.03904865024034212,5.026545760936194,-3.5093402194496797,0.0413260006076829,0.11218575668990413
microphone,A,buck,0,3.767457219322897,0.04077894412756711,4.295971586955105,-3.3590498021959454,0.048833009638069864,0.30315318750214226
microphone,A,usbesd,0,2.4698935432654863,0.02760839953367077,2.7396613999971966,-2.3224574110369107,0.030088656534076243,0.11465463701830649
microphone,A,fullboard,0,2.4908571207176324,0.03216391229356986,2.531911115366773,-2.3415388474404004,0.029975611848887543,0.07126323002947721
microphone,A,samd,1,3.489617259448044,0.035386793730698446,3.9322234245146834,-3.2627763991778025,0.03480025188327732,0.12971313492160064
microphone,A,atmega,1,3.3134561161702867,0.03279155464677778,4.557318214866398,-3.2925743766453435,0.03324956903622984,0.08416275215814066
microphone,A,3v3reg,1,3.39528414624711,0.03264477307724111,5.0518759455192415,-3.547598021905349,0.04202713408938471,0.1994739536035807
microphone,A,buck,1,3.449510204642663,0.03451380109814286,3.9625903933121283,-3.156463973675199,0.039425473346673096,0.01642625911623618
microphone,A,usbesd,1,2.3734637622265806,0.022983337119851784,2.6522348931016326,-2.391423666972311,0.02551280398858412,-0.03200189380862597
microphone,A,fullboard,1,2.3747586592386125,0.025913400407260666,2.5294075181557782,-2.3387050556726185,0.02860460049750322,0.09501991704375416
microphone,A,samd,2,3.4714207872370806,0.02945946535189764,3.9782181156895904,-3.275240950963929,0.030212056371124115,0.01173925648791188
microphone,A,atmega,2,3.3248693462013374,0.03049089969444181,4.668211439238409,-3.3536029913346055,0.029628061439139215,0.04257967392137921
microphone,A,3v3reg,2,3.3047147197106166,0.031689248006649615,4.957543443524453,-3.449643860854495,0.034126263100281724,0.01514393925710506
microphone,A,buck,2,3.527887688599415,0.03305421352010625,4.275907935245811,-3.2145147781682843,0.03460580911179978,0.190899107883648
microphone,A,usbesd,2,2.4740002729969492,0.022685014537790094,2.8302772057272514,-2.4171032131716768,0.02219032289855505,0.022265210416713716
microphone,A,fullboard,2,2.4512845422336826,0.024959262981354105,2.6255050970036042,-2.423893921770191,0.02298382832338363,-0.005065890290804995
